Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - 150m south of Napa Golf Course Clubhouse, Napa; NT9552",206DW0100,5/6/2014 0:00,1899-12-30 09:00:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig17_S_TM,2014-1089,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,0.52,,0.03,0.1,=,,VAC,Com,,,,"Se spike<5x MDL; Ni MSD RPD hi, sed usually not homogenous; Se CRM cert value <RL, hi PR",BA,SWAMP_2014_DW,DFW-ABL,,Sediment_Grab,38.265925,-122.276604,"scoop, polyethylene",,Not Applicable,FieldFrozen,5/6/2014 0:00,EPA 3052M,11/4/2014 0:00,12/2/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Passed,,0.52,,,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - 250m north of Hwy 130, 1.6mi east of Isabel Creek bridge; NT19245",204DW0150,6/10/2014 0:00,1899-12-30 11:30:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig17_S_TM,2014-1955,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,0.07,,0.03,0.1,DNQ,,VAC,Com,,,,"Se spike<5x MDL; Ni MSD RPD hi, sed usually not homogenous; Se CRM cert value <RL, hi PR",BA,SWAMP_2014_DW,RWQCB2,,Sediment_Grab,37.357308,-121.560988,"scoop, polyethylene",,Not Applicable,FieldFrozen,6/10/2014 0:00,EPA 3052M,11/4/2014 0:00,12/2/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Some review needed,ResultQualCode:DNQ,0.07,DNQ result displayed as the reported value,,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - 30m south of Montez Blvd and Lakeview Dr, Napa; NT12238",206DW0244,6/12/2014 0:00,1899-12-30 10:50:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2015Dig06_S_TM,2014-1957,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,,,0.03,0.1,ND,,"VAC,VMD",Com,,,,QADM: FIELD DUP >25%,BA,SWAMP_2014_DW,RWQCB2,,Sediment_Grab,38.302977,-122.267467,"scoop, polyethylene",,Not Applicable,FieldFrozen,6/12/2014 0:00,EPA 3052M,3/19/2015 0:00,4/1/2015 0:00,1,,MPSL-DFW,MPSL-DFW,A,,,,,,,,,,,,,,,,,,Cadmium,WGS84,Some review needed,"BatchVerification:VAC,VMD",0.01,ND result displayed as 1/2 the MDL,TRUE,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - Pescadero Cnty Park, N of Camp Pompino Rd, E of Sheriff Honor Camp; NT7465",202DW0018,5/6/2014 0:00,1899-12-30 15:00:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig12_S_TM,2014-1057,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,0.24,,0.03,0.1,=,,VAC,Com,Pond is 95% covered in duck weed,,,"samples rec'd improper temp; As,Cu,Ni RPD hi, sed difficult to homog; Ag,Se MS PR hi & SeMS/MSD RPD hi, native ND",BA,SWAMP_2014_DW,MPSL-DFW,,Sediment_Grab,37.264282,-122.245844,"scoop, polyethylene",,Not Applicable,FieldFrozen,5/6/2014 0:00,EPA 3052M,7/31/2014 0:00,1/27/2015 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Passed,,0.24,,,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - 225m southeast of Acacia Ave and Burndale Rd, Sonoma; NT12688",206DW0239,6/9/2014 0:00,1899-12-30 10:20:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig17_S_TM,2014-1954,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,0.1,,0.03,0.1,=,,VAC,Com,,,,"Se spike<5x MDL; Ni MSD RPD hi, sed usually not homogenous; Se CRM cert value <RL, hi PR",BA,SWAMP_2014_DW,RWQCB2,,Sediment_Grab,38.242251,-122.419544,"scoop, polyethylene",,Not Applicable,FieldFrozen,6/9/2014 0:00,EPA 3052M,11/4/2014 0:00,12/2/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Passed,,0.1,,,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - 500m south of Mines Rd at 17776 Mines Rd, Livermore; NT18610",204DW0074,5/7/2014 0:00,1899-12-30 09:00:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig12_S_TM,2014-1058,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,,,0.03,0.1,ND,,VAC,Com,Spring fed on East side of Pond,,,"samples rec'd improper temp; As,Cu,Ni RPD hi, sed difficult to homog; Ag,Se MS PR hi & SeMS/MSD RPD hi, native ND",BA,SWAMP_2014_DW,MPSL-DFW,,Sediment_Grab,37.585306,-121.623641,"scoop, polyethylene",,Not Applicable,FieldFrozen,5/7/2014 0:00,EPA 3052M,7/31/2014 0:00,1/27/2015 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Passed,,0.01,ND result displayed as 1/2 the MDL,TRUE,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - Henry Coe State Park, 1mi south of Jackson Rd, east of Tower Trail; NT12561",205DW0011,5/5/2014 0:00,1899-12-30 12:00:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig12_S_TM,2014-1055,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,,,0.03,0.1,ND,,VAC,Com,Wetland has been dominated by pigs and cows. Lots of animal burrows in spike rush.,,,"samples rec'd improper temp; As,Cu,Ni RPD hi, sed difficult to homog; Ag,Se MS PR hi & SeMS/MSD RPD hi, native ND",BA,SWAMP_2014_DW,MPSL-DFW,,Sediment_Grab,37.11443,-121.457026,"scoop, polyethylene",,Not Applicable,FieldFrozen,5/5/2014 0:00,EPA 3052M,7/31/2014 0:00,1/27/2015 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Passed,,0.01,ND result displayed as 1/2 the MDL,TRUE,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB2 Depressional Wetlands Study,RWB2 Depressional Wetlands 2014,"Depressional Wetland - OV Process Water Pond 300m S of Oakville Cross Rd and Money Rd, Napa; NT12049",206DW0235,6/4/2014 0:00,1899-12-30 10:00:00,AA1,2,cm,Integrated,1,1,MPSL-DFG_2014Dig17_S_TM,2014-1952,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,,,0.03,0.1,ND,,VAC,Com,,,,"Se spike<5x MDL; Ni MSD RPD hi, sed usually not homogenous; Se CRM cert value <RL, hi PR",BA,SWAMP_2014_DW,RWQCB2,,Sediment_Grab,38.4425212,-122.3843259,"scoop, polyethylene",,Not Applicable,FieldFrozen,6/4/2014 0:00,EPA 3052M,11/4/2014 0:00,12/2/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,WGS84,Passed,,0.01,ND result displayed as 1/2 the MDL,TRUE,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,RWB8 Depressional Wetlands Study,RWB8 Depressional Wetlands 2016 and 2017,Shady Canyon Depressional Wetland Site 0002,801SC0002,6/24/2017 0:00,1899-12-30 09:45:00,X,-88,cm,Integrated,1,1,MPSL-DFG_2017Dig15_S_TM,2017-1959,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,0.64,,0.03,0.1,=,,VAC,Com,,,,"Some analyzed outside HT, digested within: digestates stable; Se dup RPD high, result <3x RL; Ag CRM, MS/MSD PR low",BA,SWAMP_2014_DW,CSULB-SEAL,,Sediment_Grab,33.606916,-117.779765,"scoop, polyethylene",,Not Applicable,FieldFrozen,6/24/2017 0:00,EPA 3052M,7/14/2017 0:00,11/9/2017 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Cadmium,NAD83,Passed,,0.64,,,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,8
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Irrigated Lands Monitoring 2013,Mark West Creek at River Road,114MW2583,11/7/2013 0:00,1899-12-30 15:00:00,Midchannel,2,cm,Integrated,1,1,MPSL-DFG_2014Dig09_S_TM,2013-4978,sediment,EPA 200.8,"Cadmium, Total",mg/Kg dw,0.39,,0.03,0.1,=,,VAC,Com,,KR added sample (matches AA); SLM: GC reported 12:30,,"All samples digested w/in HT, some analysed after: Concentrations do not change once digested.",WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Sediment_Grab,38.48266,-122.83068,"scoop, polyethylene",,Not Applicable,FieldFrozen,11/7/2013 0:00,EPA 3052M,4/7/2014 0:00,8/26/2014 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",Walk In,NR,-88,m,-88,m,-88,m,Bridge,WI,,,,,,,,Cadmium,WGS84,Passed,,0.39,,,"Cadmium, Total",Inorganic,Inorganic,Metal,sediment,1
