Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Klamath River at Weitchpec,105KL2057,4/24/2001 0:00,1899-12-30 15:50:00,Not Recorded,0.1,m,Grab,1,1,WG63534,L83948-006,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,7.8,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,41.18566,-123.70705,Not Recorded,,,FieldAcidified,4/24/2001 0:00,,1/1/1950 0:00,5/4/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 0104618-06A,Total Organic Carbon,WGS84,Passed,,7.8,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Klamath River at Weitchpec,105KL2057,5/15/2001 0:00,1899-12-30 13:45:00,Not Recorded,0.1,m,Grab,1,1,WG64215,L84864-019,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,3.5,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,41.18566,-123.70705,Not Recorded,,,FieldAcidified,5/15/2001 0:00,,1/1/1950 0:00,5/23/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 105411-09B,Total Organic Carbon,WGS84,Passed,,3.5,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Klamath River at Weitchpec,105KL2057,4/8/2002 0:00,1899-12-30 14:15:00,Bank,0.1,m,Grab,1,1,AMS41302-2,11482,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,2.7,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.18566,-123.70705,Individual Collection by hand,,subsurface,LabAcidified,4/12/2002 0:00,,1/1/1950 0:00,4/13/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,85,m,0.3,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,2.7,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Klamath River Below Iron Gate,105KL9073,2/27/2002 0:00,1899-12-30 09:50:00,Bank,0.1,m,Grab,1,1,AMS31102-4,10640,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,5.3,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.92778,-122.4439,Individual Collection by hand,,subsurface,LabAcidified,3/5/2002 0:00,,1/1/1950 0:00,3/11/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,-88,m,0.45,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,5.3,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Klamath River Below Iron Gate,105KL9073,5/12/2002 0:00,1899-12-30 17:10:00,Bank,0.1,m,Grab,1,1,AMS53102-3,11654,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,12.3,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.92778,-122.4439,Individual Collection by hand,,subsurface,LabAcidified,5/20/2002 0:00,,1/1/1950 0:00,5/31/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,33,m,0.6,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,12.3,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Mad River at Blue Lake below Hatchery,109MA1087,5/15/2001 0:00,1899-12-30 16:00:00,Not Recorded,0.1,m,Grab,1,1,WG64215,L84864-020,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,1.5,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,40.87582,-123.99452,Not Recorded,,,FieldAcidified,5/15/2001 0:00,,1/1/1950 0:00,5/23/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 105411-10B,Total Organic Carbon,WGS84,Passed,,1.5,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,mainstem Novarro at Dimmick,113MSNDIM,5/9/2001 0:00,1899-12-30 12:30:00,Not Recorded,0.1,m,Grab,1,1,1060030,P105217-04,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,,,1,1,ND,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,39.15847,-123.63816,Not Recorded,,,Not Recorded,6/5/2001 0:00,,1/1/1950 0:00,6/5/2001 0:00,1,,SAL,RWQCB1,QN,,,,,,,,,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,0.5,ND result displayed as 1/2 the MDL,TRUE,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Mark West Creek at Trenton Healdsburg Road,114MW0930_SWAMP,6/25/2001 0:00,1899-12-30 15:35:00,Not Recorded,0.1,m,Grab,1,1,WG65640,L86624-010,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,4.7,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,38.49405,-122.85308,Not Recorded,,,FieldAcidified,6/25/2001 0:00,,1/1/1950 0:00,7/6/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 0106692-11A,Total Organic Carbon,WGS84,Passed,,4.7,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Navarro River at Dimmick State Park,113NA3269,6/29/2001 0:00,1899-12-30 14:55:00,Not Recorded,0.1,m,Grab,1,1,1070316,P106584-03,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,,,1,1,ND,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,39.15911,-123.63861,Not Recorded,,,Not Recorded,7/13/2001 0:00,,1/1/1950 0:00,7/13/2001 0:00,1,,SAL,RWQCB1,QN,,,,,,,,,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,0.5,ND result displayed as 1/2 the MDL,TRUE,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Navarro River at Philo,113NAVPHO,5/9/2001 0:00,1899-12-30 13:25:00,Not Recorded,0.1,m,Grab,1,1,1060030,P105217-07,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,,,1,1,ND,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,39.05803,-123.44296,Not Recorded,,,Not Recorded,6/5/2001 0:00,,1/1/1950 0:00,6/5/2001 0:00,1,,SAL,RWQCB1,QN,,,,,,,,,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,0.5,ND result displayed as 1/2 the MDL,TRUE,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Navarro River at Philo,113NAVPHO,6/29/2001 0:00,1899-12-30 16:15:00,Not Recorded,0.1,m,Grab,1,1,1070316,P106584-06,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.1,,1,1,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,39.05803,-123.44296,Not Recorded,,,Not Recorded,7/13/2001 0:00,,1/1/1950 0:00,7/13/2001 0:00,1,,SAL,RWQCB1,QN,,,,,,,,,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.1,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,RANCHERIA CREEK NR PHILO,113RNCPHO,5/9/2001 0:00,1899-12-30 13:30:00,Not Recorded,0.1,m,Grab,1,1,1060030,P105217-05,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,,,1,1,ND,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,39.05251,-123.4423,Not Recorded,,,Not Recorded,6/5/2001 0:00,,1/1/1950 0:00,6/5/2001 0:00,1,,SAL,RWQCB1,QN,,,,,,,,,,,,,,,,,,Total Organic Carbon,WGS84,Passed,,0.5,ND result displayed as 1/2 the MDL,TRUE,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Russian River at Healdsburg Veterans Memorial Beach,114RR2940,3/13/2002 0:00,1899-12-30 13:15:00,Not Recorded,0.1,m,Grab,1,1,AMS33002-1,11140,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,6.4,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,38.60465,-122.85993,Individual Collection by hand,,subsurface,LabAcidified,3/15/2002 0:00,,1/1/1950 0:00,3/30/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,50,m,0.5,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,6.4,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Russian River at Healdsburg Veterans Memorial Beach,114RR2940,5/8/2002 0:00,1899-12-30 11:45:00,Not Recorded,0.1,m,Grab,1,1,AMS53002-4,11619,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.3,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,38.60465,-122.85993,Individual Collection by hand,,subsurface,LabAcidified,5/10/2002 0:00,,1/1/1950 0:00,5/30/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,20,m,0.6,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.3,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Russian River at Odd Fellows Crossing,114RR1644,6/26/2001 0:00,1899-12-30 00:00:00,Not Recorded,0.1,m,Grab,1,1,WG65640,L86623-004,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,1.8,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,38.50329,-122.96154,Not Recorded,,,FieldAcidified,6/26/2001 0:00,,1/1/1950 0:00,7/6/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 0106738-04A,Total Organic Carbon,WGS84,Passed,,1.8,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Scott River at Callahan,105SC9823,2/27/2002 0:00,1899-12-30 16:32:00,Thalweg,0.1,m,Grab,1,1,AMS31102-4,10645,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,,,1,1,ND,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.32366,-122.81281,Individual Collection by hand,,subsurface,LabAcidified,3/5/2002 0:00,,1/1/1950 0:00,3/11/2002 0:00,1,,AMS,AMS,A,Walk In,LB,-88,m,15,m,0.6,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,0.5,ND result displayed as 1/2 the MDL,TRUE,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Shasta River at Hwy 263,105SH1452,2/27/2002 0:00,1899-12-30 08:35:00,Thalweg,0.1,m,Grab,1,1,AMS31102-3,10639,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,3,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.78139,-122.59678,Individual Collection by hand,,subsurface,LabAcidified,3/5/2002 0:00,,1/1/1950 0:00,3/11/2002 0:00,1,,AMS,AMS,A,Walk In,NR,-88,m,38,m,0.5,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,3,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Smith River above South Fork,103SM6897,4/7/2002 0:00,1899-12-30 16:45:00,Bank,0.1,m,Grab,1,1,AMS41302-2,11456,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,1.2,,1,1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.80111,-124.05447,Individual Collection by hand,,subsurface,LabAcidified,4/12/2002 0:00,,1/1/1950 0:00,4/13/2002 0:00,1,,AMS,AMS,A,Walk In,RB,-88,m,44,m,0.9,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,1.2,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Smith River below Dr. Fine Bridge,103SM1917,5/16/2001 0:00,1899-12-30 12:00:00,Not Recorded,0.1,m,Grab,1,1,WG64215,L84866-002,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,3.5,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,41.89055,-124.14864,Not Recorded,,,FieldAcidified,5/16/2001 0:00,,1/1/1950 0:00,5/23/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 0105443-02A,Total Organic Carbon,WGS84,Passed,,3.5,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Smith River below Dr. Fine Bridge,103SM1917,6/19/2002 0:00,1899-12-30 15:45:00,Bank,0.1,m,Grab,1,1,AMS62202-4,11798,samplewater,EPA 415.1,"Total Organic Carbon, Total",mg/L,2,,1,1,=,,VAC,Com,,100FDQ013,,,WQ,MPSL-DFW_Field_v1.0,RWQCB1,,Water_Grab,41.89055,-124.14864,Individual Collection by hand,,subsurface,LabAcidified,6/21/2002 0:00,,1/1/1950 0:00,6/22/2002 0:00,1,,AMS,AMS,A,Walk In,RB,-88,m,67,m,1,m,NR,,,,,,,,,Total Organic Carbon,WGS84,Passed,,2,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP RWB1 Monitoring,RWB1 Development Trend Montoring FYs 2001 2002,Smith River South Fork above Hiouchi,103SF0039,4/25/2001 0:00,1899-12-30 14:50:00,Not Recorded,0.1,m,Grab,1,1,WG63534,L84009-004,samplewater,SM 5310 B,"Total Organic Carbon, Total",mg/L,3,,-88,0.7,=,,VAC,Hist,,,,,WQ,SWAMP_Historical,RWQCB1,,Water_Grab,41.7968,-124.05536,Not Recorded,,,FieldAcidified,4/25/2001 0:00,,1/1/1950 0:00,5/4/2001 0:00,1,,Babcock,NCL,QN,,,,,,,,,,,,,,,,,Source ID: 0104643-04A,Total Organic Carbon,WGS84,Passed,,3,,,"Total Organic Carbon, Total",Inorganic,Conventional,,samplewater,1
