Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,SWAMP Dry Stream,RWB9 Episodic Assessment,De Luz Tributary at Airport,910NP9ARP,6/4/2019 0:00,1899-12-30 11:15:00,X,2.0,cm,Grab,1,1,MPSL-DFW_2019Dig32_S_TM,2019-1317,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,14.3,,0.09,0.27,=,,VAC,Com,,,,"Ag dup hi, results <RL; Cr MSD low, appears unspiked; Mn MSD slightly low",BA,DryStream_2016,CSUMB-WEE,,Sediment_Grab,32.62881,-116.88151,Not Recorded,,Not Applicable,FieldFrozen,6/4/2019 0:00,EPA 3052M,9/13/2019 0:00,10/22/2019 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Arsenic,WGS84,Passed,,14.3,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,9
Surface Water Ambient Monitoring Program,SWAMP Dry Stream,RWB9 Episodic Assessment,Pine Valley Creek at Noble Canyon Trailhead,911TJPC2x,6/7/2019 0:00,1899-12-30 11:45:00,X,2.0,cm,Grab,1,1,MPSL-DFW_2019Dig32_S_TM,2019-1319,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,2.62,,0.09,0.27,=,,VAC,Com,,,,"Ag dup hi, results <RL; Cr MSD low, appears unspiked; Mn MSD slightly low",BA,DryStream_2016,CSUMB-WEE,,Sediment_Grab,32.853119,-116.522737,Not Recorded,,Not Applicable,FieldFrozen,6/7/2019 0:00,EPA 3052M,9/13/2019 0:00,10/22/2019 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",,,,,,,,,,,,,,,,,,Arsenic,NAD83,Passed,,2.62,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,9
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,"RWB2 WadStream- Petaluma, Lagunitas, Walker 2016",Walker Creek-1.2km upstream of hwy 1 crossing,201WLK091,6/15/2016 0:00,1899-12-30 10:14:00,Bank,2.0,cm,Integrated,1,1,MPSL-DFG_2016Dig16_S_TM,2016-1780,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,3.28,,0.1,0.3,=,,"VAC,VMD",Com,Integrator site- Walker Creek,"Amphipod survival, Hg and metals suite, TOC, and grain size collected with plastic scoop.",,"Se post spiked, Se CRM <RL. IQC: FIELD DUP RPD>25%",WQ,SWAMP_SPoT,RWQCB2,,Sediment_Grab,38.224643,-122.910304,"scoop, polyethylene",,Subsurface,FieldFrozen,,EPA 3052M,8/1/2016 0:00,9/29/2016 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",Walk In,RB,2.0,m,10.0,m,0.3,m,,,,,,,,,,Arsenic,WGS84,Some review needed,"BatchVerification:VAC,VMD",3.28,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,"RWB2 Yr1 West Marin, Solano & Alameda Co Creeks",Rockville,207SUI020,6/17/2002 0:00,1899-12-30 15:40:00,Not Recorded,2.0,cm,Integrated,1,1,2003Dig06,02-1577,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,11.5,,0.05,0.1,=,,VAC,Com,original nominal area could not be accessed due to poison Oak. Sampled upstream of original nominal under bridge on Suison Valley Rd.,,,,WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,38.24472,-122.11194,"scoop, polycarbonate",,not applicable,,1/1/1950 0:00,EPA 3052M,,2/20/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,NR,-88.0,m,7.0,m,0.4,m,NR,,Nominal Lat/Longs could not be accessed; Sampled U/S of nominal under bridge on Suisun Valley Rd.; Actual Lat/long correct,,,,,,,Arsenic,WGS84,Passed,,11.5,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Yr2 Cstal & Bay Penn Crks; SMateo & SClara Co,San Gregorio USGS Gage,202SGR010,6/18/2002 0:00,1899-12-30 10:10:00,Not Recorded,2.0,cm,Integrated,1,1,2003Dig06,02-1559,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,4.86,,0.05,0.1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,37.32583,-122.38583,"scoop, polyethylene",,Not Applicable,,1/1/1950 0:00,EPA 3052M,,2/20/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,NR,-88.0,m,6.0,m,0.5,m,NR,,,,,,,,,Arsenic,WGS84,Passed,,4.86,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Yr2 Cstal & Bay Penn Crks; SMateo & SClara Co,Charleston Rd,205PER010,6/17/2002 0:00,1899-12-30 08:50:00,Not Recorded,2.0,cm,Integrated,1,1,2003Dig06,02-1542,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,1.04,,0.05,0.1,=,,VAC,Com,, 200FDQ009,,,WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,37.42118,-122.08673,"scoop, polyethylene",,not applicable,,1/1/1950 0:00,EPA 3052M,2/6/2003 0:00,2/20/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,RB,-88.0,m,5.0,m,0.2,m,NR,,,,,,,,,Arsenic,WGS84,Passed,,1.04,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Yr2 Cstal & Bay Penn Crks; SMateo & SClara Co,Water Lane,202PES050,6/19/2002 0:00,1899-12-30 09:12:00,Bank,2.0,cm,Integrated,1,1,2003Dig06,02-1624,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,5.65,,0.05,0.1,=,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,37.258,-122.39492,"scoop, polyethylene",,Not Applicable,,1/1/1950 0:00,EPA 3052M,2/6/2003 0:00,2/20/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,LB,-88.0,m,5.0,m,0.1,m,NR,,,,,,,,,Arsenic,WGS84,Passed,,5.65,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,"RWB2 Yr3 Peta Riv, Smateo & Contra Costa Co Creeks","Petaluma River - Petaluma Village Premium Outlet Mall, just downstream of bridge leading into mall",206PET310,4/21/2003 0:00,1899-12-30 17:45:00,Bank,2.0,cm,Integrated,1,1,2003Dig15,2003-1461,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,4.66,,0.1,0.3,=,,VAC,QualH,clams in 1' water - 4'' off bottom 14'' off man-made rudimentary stick retaining wall,,,"QAO: MS/MSD %R and RPD outside criteria for Cu, Mn, Ni, As, Cr, Zn",WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,38.25578,-122.65117,"scoop, polyethylene",,Not Applicable,,1/1/1950 0:00,EPA 3052M,11/4/2003 0:00,11/18/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,LB,-88.0,m,7.0,m,0.6,m,NR,,,,,,,,,Arsenic,WGS84,Passed,,4.66,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,"RWB2 Yr3 Peta Riv, Smateo & Contra Costa Co Creeks",Port Chicago Highway,207MTD010,4/21/2003 0:00,1899-12-30 16:00:00,Bank,2.0,cm,Integrated,1,1,2003Dig15,2003-1463,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,4.58,,0.1,0.3,=,,VAC,QualH,,,,"QAO: MS/MSD %R and RPD outside criteria for Cu, Mn, Ni, As, Cr, Zn",WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,38.01861,-122.02602,"scoop, polyethylene",,Not Applicable,,1/1/1950 0:00,EPA 3052M,11/4/2003 0:00,11/18/2003 0:00,1,,MPSL-DFW,MPSL-DFW,A,Walk In,RB,-88.0,m,7.0,m,0.6,m,NR,,,,,,,,,Arsenic,WGS84,Passed,,4.58,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
Surface Water Ambient Monitoring Program,SWAMP RWB2 Monitoring,RWB2 Yr4 East Bay Creeks,Arroyo Viejo Rec. Center,204AVJ020,4/12/2005 0:00,1899-12-30 16:15:00,Bank,2.0,cm,Integrated,1,1,MPSL_2005Dig26_S_TM,2005-2126,sediment,EPA 200.8,"Arsenic, Total",mg/Kg dw,12.0,,1.8,5.0,=,,VAC,QualH,,,Moisture from Hg Digestion,"All dups high, this is fairly typical of sediments; Al too high to spike; Cr MS PR and Dup RPD outside limits, Both CRM Cr results OK; Moistures taken from Hg digestion",WQ,MPSL-DFW_Field_v1.0,MPSL-DFW,,Sediment_Grab,37.76253,-122.17539,"scoop, polyethylene",,Not Applicable,,1/1/1950 0:00,EPA 3052M,10/20/2005 0:00,10/27/2005 0:00,1,,MPSL-DFW,MPSL-DFW,"A,MD",Walk In,RB,0.2,m,1.5,m,0.3,m,Bridge,DS,,,,,,,,Arsenic,WGS84,Passed,,12.0,,,"Arsenic, Total",Inorganic,Inorganic,Metal,sediment,2
