Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,RWB9 Depressional Wetlands Study,RWB9 Depressional Wetlands 2012,Pala Rey Ranch,903CCRVAL,5/22/2012 0:00,1899-12-30 09:15:00,AA1,0.1,m,Integrated,1,1,CSUSB_C-1001_W_TN,54-R1,samplewater,SM 4500-N B,"Nitrogen, Total, Total",mg/L,13.38,,0.02,0.02,=,VH,"VAC,VQI",Est,,,,"QAO: no MS/MSD or dup, samples >2X HT",BA,SWAMP_2012_DW,DFW-ABL,,Water_Grab,33.332142,-117.124756,Individual Collection by pole sampler,,Subsurface,LabFrozen,5/23/2012 0:00,,1/1/1950 0:00,1/5/2013 12:00,1,,CSUSB,PHYSIS,A,,,,,,,,,,,,,,,,,,"Nitrogen, Total",NAD83,Extensive review needed,"BatchVerification:VAC,VQI",13.38,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,9
Surface Water Ambient Monitoring Program,RWB9 Depressional Wetlands Study,RWB9 Depressional Wetlands 2012,Sweetwater Authority El Tae Rd,909SWASPV,5/16/2012 0:00,1899-12-30 10:30:00,AA1,0.1,m,Integrated,1,1,CSUSB_C-1001_W_TN,58-R1,samplewater,SM 4500-N B,"Nitrogen, Total, Total",mg/L,1.72,,0.02,0.02,=,VH,"VAC,VQI",Est,,,,"QAO: no MS/MSD or dup, samples >2X HT",BA,SWAMP_2012_DW,DFW-ABL,,Water_Grab,32.702111,-116.966836,Individual Collection by pole sampler,,Subsurface,LabFrozen,5/17/2012 0:00,,1/1/1950 0:00,1/5/2013 12:00,1,,CSUSB,PHYSIS,A,,,,,,,,,,,,,,,,,,"Nitrogen, Total",NAD83,Extensive review needed,"BatchVerification:VAC,VQI",1.72,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,9
Surface Water Ambient Monitoring Program,SWAMP Perennial Stream Surveys,Statewide Perennial Streams Assessment 2012,Cirby Creek above Linda Cr.,519PS0514,7/30/2012 0:00,1899-12-30 12:00:00,X,0.1,m,Grab,1,1,WPCL_9346_W_TN,L-409-12-05,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.531,,0.0208,0.05,=,,VAC,Com,no cobbles,,,,BA,SWAMP_2007_WS,MPSL-DFW,,Water_Grab,38.7338,-121.2761,Individual Collection by hand,,Subsurface,FieldAcidified,7/30/2012 0:00,,1/1/1950 0:00,8/7/2012 0:00,1,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,,"Nitrogen, Total",NAD83,Passed,,0.53,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,5
Surface Water Ambient Monitoring Program,SWAMP Perennial Stream Surveys,Statewide Perennial Streams Assessment 2012,Clear Creek ~0.6mi below French Gulch,524PS0202,9/20/2012 0:00,1899-12-30 08:45:00,X,0.1,m,Grab,1,1,WPCL_9673_W_TN,L-585-12-09,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.0716,,0.0208,0.05,=,,VAC,Com,,,,,BA,SWAMP_2007_WS,DFW-ABL,,Water_Grab,40.6905,-122.6402,Individual Collection by hand,,Subsurface,FieldAcidified,9/20/2012 0:00,,1/1/1950 0:00,10/9/2012 0:00,1,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,,"Nitrogen, Total",NAD83,Passed,,0.07,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,5
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,RWB1 Tiered Monitoring with SPATTs 2023,Navarro River at Hendy Woods,113NA9055,8/14/2023 0:00,1899-12-30 10:00:00,Midchannel,0.1,m,Grab,1,1,Babcock_C3H2661-CALC-Ncalc_W_Ncalc,C3H2661-01,samplewater,Calculated,"Nitrogen, Total, Total",mg/L,,,0.096,0.11,ND,,VAC,Com,,,,,WQ,MPSL-DFW_Field_v1.1,RWQCB1,,Water_Grab,39.075586,-123.465081,Individual Collection by hand,,Subsurface,FieldAcidified,8/14/2023 0:00,,1/1/1950 0:00,9/6/2023 21:20,1,,Babcock,Babcock,A,Walk In,LB,2.0,m,8.0,m,0.25,m,,,,,,,,,113NA9055,"Nitrogen, Total",WGS84,Passed,,0.05,ND result displayed as 1/2 the MDL,True,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP Perennial Stream Surveys,Statewide Perennial Streams Assessment 2012,Browns Creek,106PS0206,10/3/2012 0:00,1899-12-30 14:00:00,X,0.1,m,Grab,1,1,WPCL_9673_W_TN,L-619-12-03,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.0535,,0.0208,0.05,=,,VAC,Com,,,,,BA,SWAMP_2007_WS,MPSL-DFW,,Water_Grab,40.5401,-122.9348,Individual Collection by hand,,Subsurface,FieldAcidified,10/3/2012 0:00,,1/1/1950 0:00,10/9/2012 0:00,1,,DFW-WPCL,DFW-WPCL,A,,,,,,,,,,,,,,,,,,"Nitrogen, Total",NAD83,Passed,,0.05,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,1
Surface Water Ambient Monitoring Program,SWAMP Reference Condition Management Plan,Statewide Ref Condition Management Plan 2017,Random Site 10 - Lion Canyon,403STC010,5/23/2017 0:00,1899-12-30 09:00:00,X,0.1,m,Grab,1,1,DeltaEnv_17F0158_W_TN,1705111-01,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.122,,0.005,0.01,=,,VAC,Com,,,,native sample for MS/D is not included in batch,BA,SWAMP_2016_WS,DFW-ABL,,Water_Grab,34.53306,-119.15833,Individual Collection by hand,,Subsurface,FieldAcidified,5/23/2017 0:00,,1/1/1950 0:00,5/31/2017 0:00,1,,DeltaEnv,DFW-WPCL,"A,MD",,,,,,,,,,,,,,,,,403STC010,"Nitrogen, Total",NR,Spatial accuracy unknown,Datum:NR,0.12,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,4
Surface Water Ambient Monitoring Program,SWAMP Reference Condition Management Plan,Statewide Ref Condition Management Plan 2017,Random Site 21 - Piru Creek - Forest Service Rd 7N13,403STC021,5/17/2017 0:00,1899-12-30 14:15:00,X,0.1,m,Grab,1,1,DeltaEnv_17F0129_W_TN,1705089-04,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.12,,0.005,0.01,=,,VAC,Com,NR,,,,BA,SWAMP_2016_WS,DFW-ABL,,Water_Grab,34.64667,-119.06944,Individual Collection by hand,,Subsurface,FieldAcidified,5/17/2017 0:00,,1/1/1950 0:00,5/23/2017 0:00,1,,DeltaEnv,DFW-WPCL,A,,,,,,,,,,,,,,,,,403STC021,"Nitrogen, Total",NR,Spatial accuracy unknown,Datum:NR,0.12,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,4
Surface Water Ambient Monitoring Program,SWAMP Reference Condition Management Plan,Statewide Ref Condition Management Plan 2017,Rock Creek ~3.6mi above Clavey River,536RCCACR,7/26/2017 0:00,1899-12-30 11:30:00,X,0.1,M,Grab,1,1,DeltaEnv_17H0067_W_TN,1707123-01,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,0.169,,0.005,0.01,=,,VAC,Com,,,,000NONPJ native not reported,BA,SWAMP_2016_WS,DFW-ABL,,Water_Grab,38.1125,-119.9511,Individual Collection by hand,,Subsurface,FieldAcidified,7/26/2017 0:00,,1/1/1950 0:00,8/3/2017 0:00,1,,DeltaEnv,DFW-WPCL,"A,MD",,,,,,,,,,,,,,,,,536RCCACR,"Nitrogen, Total",NAD83,Passed,,0.17,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,5
Surface Water Ambient Monitoring Program,SWAMP Reference Condition Management Plan,Statewide Ref Condition Management Plan 2018,Boulder Creek ~1mi above Maple Cr. Rd.,109BCAMCR,8/22/2018 0:00,1899-12-30 11:00:00,X,0.1,m,Grab,1,1,deltaEnv_18I0021_W_TN,1808110-01,samplewater,SM 4500-N CM v21,"Nitrogen, Total, Total",mg/L,1.59,,0.005,0.01,=,,"VAC,VMD",Com,,,,IQC: MS/MSD PR<80%,BA,SWAMP_2016_WS,DFW-ABL,,Water_Grab,40.76411253,-123.8630428,Individual Collection by hand,,Subsurface,FieldAcidified,8/22/2018 0:00,,1/1/1950 0:00,8/24/2018 11:00,1,,DeltaEnv,DeltaEnv,A,,,,,,,,,,,,,,,,,109BCAMCR,"Nitrogen, Total",NAD83,Some review needed,"BatchVerification:VAC,VMD",1.59,,,"Nitrogen, Total, Total",Inorganic,Nutrient,,samplewater,1
