Program,ParentProject,Project,StationName,StationCode,SampleDate,CollectionTime,LocationCode,CollectionDepth,UnitCollectionDepth,SampleTypeCode,CollectionReplicate,ResultsReplicate,LabBatch,LabSampleID,MatrixName,MethodName,Analyte,Unit,Result,Observation,MDL,RL,ResultQualCode,QACode,BatchVerification,ComplianceCode,SampleComments,CollectionComments,ResultsComments,BatchComments,EventCode,ProtocolCode,SampleAgency,GroupSamples,CollectionMethodName,TargetLatitude,TargetLongitude,CollectionDeviceDescription,CalibrationDate,PositionWaterColumn,PrepPreservationName,PrepPreservationDate,DigestExtractMethod,DigestExtractDate,AnalysisDate,DilutionFactor,ExpectedValue,LabAgency,SubmittingAgency,SubmissionCode,OccupationMethod,StartingBank,DistanceFromBank,UnitDistanceFromBank,StreamWidth,UnitStreamWidth,StationWaterDepth,UnitStationWaterDepth,HydroMod,HydroModLoc,LocationDetailWQComments,ChannelWidth,UpstreamLength,DownStreamLength,TotalReach,LocationDetailBAComments,SampleID,DW_AnalyteName,Datum,DataQuality,DataQualityIndicator,ResultDisplay,DisplayText,Censored,AnalyteDisplay,AnalyteGroup1,AnalyteGroup2,AnalyteGroup3,MatrixDisplay,Region
Surface Water Ambient Monitoring Program,SWAMP Reference Condition Management Plan,Statewide Ref Condition Management Plan 2017,Lincoln Creek,517LCCAYB,8/29/2017 0:00,1899-12-30 09:15:00,X,0.1,m,Grab,1,1,DeltaEnv_17I0043_W_TPHOS,1708162-01,samplewater,EPA 365.1M,"Phosphorus as P, Total",mg/L,0.021,,0.009,0.01,=,,VAC,Com,,,,,BA,SWAMP_2016_WS,DFW-ABL,,Water_Grab,39.59879,-120.51104,Individual Collection by hand,,Subsurface,FieldAcidified,8/29/2017 0:00,,1/1/1950 0:00,9/6/2017 0:00,1,,DeltaEnv,DFW-WPCL,A,,,,,,,,,,,,,,,,,517LCCAYB,Phosphorus as P,NAD83,Passed,,0.02,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,5
Surface Water Ambient Monitoring Program,RWB9 Depressional Wetlands Study,RWB9 Depressional Wetlands 2012,Tumble Creek Lane,903TMBFAL,5/22/2012 0:00,1899-12-30 13:30:00,AA1,0.1,m,Integrated,1,1,Physis_C-7109_W_TPHOS,14620-R1,samplewater,SM 4500-P E,"Phosphorus as P, Total",mg/L,0.091,,0.016,0.05,=,,VAC,Com,,,,,BA,SWAMP_2012_DW,DFW-ABL,,Water_Grab,33.378002,-117.217569,Individual Collection by pole sampler,,Subsurface,LabFrozen,5/23/2012 0:00,,1/1/1950 0:00,6/10/2012 12:00,1,,PHYSIS,PHYSIS,A,,,,,,,,,,,,,,,,,,Phosphorus as P,NAD83,Passed,,0.09,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,9
Surface Water Ambient Monitoring Program,RWB9 Depressional Wetlands Study,RWB9 Depressional Wetlands 2013,Creek Hollow Ranch,905CHRRMN,5/1/2013 0:00,1899-12-30 09:30:00,AA1,0.1,m,Integrated,1,1,Physis_C-12096_W_TPHOS,20678-R1,samplewater,SM 4500-P E,"Phosphorus as P, Total",mg/L,0.093,,0.016,0.05,=,,VAC,Com,,,,PR out of range,BA,SWAMP_2012_DW,DFW-ABL,,Water_Grab,33.047415,-116.76988,Individual Collection by pole sampler,,Subsurface,LabAcidified,5/2/2013 12:00,SM 4500 PB4,5/21/2013 12:00,5/23/2013 12:00,1,,PHYSIS,PHYSIS,"A,MD",,,,,,,,,,,,,,,,,,Phosphorus as P,WGS84,Passed,,0.09,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,9
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Big Bear Lake, Carol Morrison dock",801BBL705,11/9/2021 0:00,1899-12-30 08:55:00,Bank,1.0,m,Grab,1,1,Babcock_1K16119_W_TPHOS,C1K1278-05,samplewater,SM 4500-P F,"Phosphorus as P, Total",mg/L,0.05,,0.01,0.01,=,,VAC,Com,,,,,WQ,SWAMP_HAB_TOXCOLv1.3,RWQCB8,,Water_Grab,34.2611101,-116.8886161,Not Recorded,,Not Applicable,FieldAcidified,11/9/2021 0:00,SM 4500 PB,11/20/2021 11:00,11/21/2021 15:14,1,,Babcock,Babcock,A,,,,,,,,,,,,,,,,,801BBL705,Phosphorus as P,WGS84,Passed,,0.05,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Big Bear Lake, Gilner Point Middle near MWDL2",801BBL701,6/22/2021 0:00,1899-12-30 12:35:00,OpenWater,1.0,m,Grab,1,1,Babcock_1G06101_W_TPHOS,C1F2861-01,samplewater,SM 4500-P BE,"Phosphorus as P, Total",mg/L,0.08,,0.02,0.05,=,,VAC,Com,,,,,WQ,RWB8_FHAB_Study_2021,RWQCB8,,Water_Grab,34.253647,-116.9492243,Custom Vertical Tube Sampler 1m,,Subsurface,FieldAcidified,6/22/2021 0:00,Not Recorded,7/6/2021 7:45,7/6/2021 10:25,1,,Babcock,Babcock,A,Motor boat,,,m,,m,,m,,,,,,,,,801BBL701,Phosphorus as P,WGS84,Passed,,0.08,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Big Bear Lake, Mid Lake near MWDL6",801BBL702,6/30/2022 0:00,1899-12-30 14:40:00,OpenWater,0.1,m,Grab,1,1,Babcock_2G02010_W_TPHOS,C2G0104-07,samplewater,SM 4500-P F,"Phosphorus as P, Total",mg/L,0.05,,0.01,0.01,=,,VAC,Com,,,,,WQ,SWAMP_HAB_TOXCOLv1.3,RWQCB8,,Water_Grab,34.2533187,-116.9232659,Not Recorded,,Not Applicable,FieldAcidified,6/30/2022 0:00,SM 4500-P B 5,7/2/2022 12:50,7/5/2022 8:24,1,,Babcock,Babcock,A,,,,,,,,,,,,,,,,,801BBL702,Phosphorus as P,WGS84,Passed,,0.05,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Lake Elsinore, Launch Pointe NE dock end",802LELD2E,8/5/2021 0:00,1899-12-30 11:14:00,Bank,1.0,m,Grab,1,1,Babcock_1H25077_W_TPHOS,C1H0791-01,samplewater,SM 4500-P BE,"Phosphorus as P, Total",mg/L,0.05,,0.02,0.05,=,,VAC,Com,,,,,WQ,SWAMP_HAB_TOXCOLv1.3,RWQCB8,,Water_Grab,33.6725283,-117.3691376,Not Recorded,,Not Applicable,FieldAcidified,8/5/2021 0:00,,1/1/1950 0:00,8/25/2021 14:50,1,,Babcock,Babcock,A,,,,,,,,,,,,,,,,,802LELD2E,Phosphorus as P,WGS84,Passed,,0.05,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Lake Elsinore, Launch Pointe NE dock end",802LELD2E,9/21/2021 0:00,1899-12-30 10:45:00,Bank,1.0,m,Grab,1,1,Babcock_1I27106_W_TPHOS,C1I2457-01,samplewater,SM 4500-P BE,"Phosphorus as P, Total",mg/L,0.3,,0.02,0.05,=,,VAC,Com,,,,,WQ,SWAMP_HAB_TOXCOLv1.3,RWQCB8,,Water_Grab,33.6725283,-117.3691376,Not Recorded,,Not Applicable,FieldAcidified,9/21/2021 0:00,Not Recorded,9/27/2021 15:05,10/2/2021 13:00,1,,Babcock,Babcock,A,,,,,,,,,,,,,,,,,802LELD2E,Phosphorus as P,WGS84,Passed,,0.3,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Lake Elsinore, Launch Pointe NE dock end",802LELD2E,7/12/2022 0:00,1899-12-30 11:15:00,Bank,1.0,m,Grab,1,1,Babcock_2G13038_W_TPHOS,C2G1241-01,samplewater,SM 4500-P F,"Phosphorus as P, Total",mg/L,0.22,,0.01,0.01,=,,VAC,Com,,,,,WQ,SWAMP_HAB_TOXCOLv1.3,RWQCB8,,Water_Grab,33.6725283,-117.3691376,Not Recorded,,Not Applicable,FieldAcidified,7/12/2022 0:00,SM 4500-P B 5,7/13/2022 16:05,7/14/2022 18:38,1,,Babcock,Babcock,A,,,,,,,,,,,,,,,,,802LELD2E,Phosphorus as P,WGS84,Passed,,0.22,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
Surface Water Ambient Monitoring Program,SWAMP Freshwater Harmful Algal Blooms(HAB) Program,Focused FHAB Monitoring at LE and BBL,"Lake Elsinore, Launch Pointe NE dock end",802LELD2E,9/15/2022 0:00,1899-12-30 11:15:00,Bank,1.0,m,Integrated,1,1,Babcock_2I23022_W_TPHOS,C2I1872-01,samplewater,SM 4500-P F,"Phosphorus as P, Total",mg/L,0.26,,0.01,0.01,=,,VAC,Com,,,,,WQ,SWAMP_HAB_TOXCOLv1.3,RWQCB8,,Water_Grab,33.6725283,-117.3691376,Not Recorded,,Not Applicable,FieldAcidified,9/15/2022 0:00,SM 4500-P B 5,9/24/2022 7:45,9/24/2022 13:45,1,,Babcock,Babcock,A,,,,,,,,,,,,,,,,,802LELD2E,Phosphorus as P,WGS84,Passed,,0.26,,,"Phosphorus as P, Total",Inorganic,Inorganic,Nutrient,samplewater,8
