Fire,GIS_Acres,n_before,n_after,Oxygen_before,Oxygen_after,Oxygen_change,Turbidity_before,Turbidity_after,Turbidity_change,Nitrogen_before,Nitrogen_after,Nitrogen_change,pH_before,pH_after,pH_change,Phosphorus as P_before,Phosphorus as P_after,Phosphorus as P_change
AUGUST COMPLEX,1.0326996e+06,30,7,8.926666666666666,8.409999999999998,-0.5166666666666675,0.7420000000000001,1.3471428571428572,0.6051428571428571,0.1066111111111111,0.11933333333333333,0.012722222222222232,8.217307692307694,8.049999999999999,-0.16730769230769482,0.02889285714285714,0.036666666666666674,0.0077738095238095335
BOBCAT,115997.98,21,1,9.318947368421055,9.13,-0.1889473684210543,0.8930000000000001,0.19,-0.7030000000000001,0.20396875,0.48,0.27603124999999995,8.095789473684212,8.27,0.17421052631578782,,,
BUTTE,70846.53,7,13,9.340000000000002,9.427999999999999,0.08799999999999741,2.25,2.3600000000000003,0.11000000000000032,,,,7.861666666666668,7.35125,-0.5104166666666679,,,
CALDOR,221786.39,27,16,8.580555555555556,9.106666666666666,0.5261111111111099,1.0643478260869568,35.91461538461539,34.85026755852843,0.32524,0.15,-0.17523999999999998,7.7214285714285715,7.968181818181818,0.24675324675324628,0.015010526315789478,0.145,0.12998947368421052
CAMP,153335.56,4,75,10.3,9.957735849056604,-0.3422641509433966,1.685,35.72256756756757,34.03756756756757,0.06943333333333333,0.6728500000000001,0.6034166666666667,8.063333333333333,8.058499999999999,-0.004833333333333911,0.017466666666666665,0.16349310344827586,0.1460264367816092
CARR ,229651.4,8,14,9.07,7.07,-2.0,1.4866666666666664,0.4230769230769231,-1.0635897435897432,0.0711,0.24275,0.17165,8.348571428571429,8.290000000000001,-0.05857142857142783,0.0181,0.22349999999999998,0.20539999999999997
CASTLE,170647.92,1,1,8.68,9.5,0.8200000000000003,0.66,1.14,0.47999999999999987,0.0401,0.72,0.6799,,,,,,
CHIPS,76349.71,4,1,8.896666666666667,9.45,0.5533333333333328,,,,0.118,0.0271,-0.0909,7.760000000000001,7.8,0.03999999999999915,0.015366666666666667,0.133,0.11763333333333334
CREEK,379842.4,6,1,8.323333333333332,6.1,-2.2233333333333327,0.6224999999999999,1.44,0.8175,0.08012,0.11,0.029880000000000004,8.057500000000001,7.3,-0.7575000000000012,,,
CZU LIGHTNING COMPLEX,86553.46,264,41,10.286919831223628,8.947837837837838,-1.3390819933857898,5.034276679841898,17.11292682926829,12.078650149426391,,,,7.70857142857143,7.463235294117647,-0.24533613445378322,0.08250138248847926,0.07250000000000001,-0.010001382488479246
DAY,161815.66,4,2,,,,1.005,1.635,0.6300000000000001,,,,7.403333333333333,8.625,1.2216666666666667,,,
