WaterQualityID,StationCode,StationName,TargetLatitude,TargetLongitude,Region,SampleDate,"Arsenic, Total","Cadmium, Total","Chromium, Total","Nitrogen, Total, Total","Oxygen, Dissolved, Total","Phosphorus as P, Total","Total Organic Carbon, Total","Turbidity, Total",pH,SampleYear,index_right,FIRE_NAME,ALARM_DATE,FireYear,GIS_ACRES
12,102PS0331,Applegate River ~0.4mi above Lick Gulch,41.98886093,-123.1642933,1,2017-07-11,,,,0.111,9.31,,,0.41,8.5,2017,2782.0,ABNEY,2017-08-10 00:00:00+00:00,2017.0,32893.26
472,105CE0329,Johns Meadow Creek ~1mi above S. Russian Creek,41.3075,-123.0336111,1,2014-07-23,,,,0.0875,8.22,0.0047,,0.0,,2014,4058.0,WHITES,2014-07-30 00:00:00+00:00,2014.0,33794.438
1283,106MNCAHC,Miner's Creek,40.638,-123.321,1,2008-10-01,,,,,13.94,0.0367,,0.85,8.1,2008,5732.0,MINERS,2008-06-21 00:00:00+00:00,2008.0,24876.34
1742,111CE0551,Bear Creek below FS road 17NO2,39.35314,-122.77651,1,2018-10-31,,,,-0.005,,0.016,,,,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
1995,111FS0008,Blue Slides Creek above Bear Cr.,39.319333,-122.8453617,1,2018-10-29,,,,0.14,,0.051,,,,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
2002,111FS0008,Blue Slides Creek above Bear Cr.,39.319333,-122.8453617,1,2018-07-09,,,,-0.005,8.18,0.094,,3.02,8.6,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
2537,111WER159,Copper Butte Creek ~0.5mi above Eel River,39.42944444,-122.8444444,1,2018-11-06,,,,0.03,12.2,0.045,,0.76,8.8,2018,2354.0,RANCH,2018-07-27 00:00:00+00:00,2018.0,410202.47
3061,114FR0102,Franz Creek at Chalk Hill Road,38.61068,-122.77254,1,2019-01-16,,,,3.23,10.87,0.519,8.8,,7.42,2019,2036.0,KINCADE,2019-10-23 00:00:00+00:00,2019.0,77762.14
3062,114FR0102,Franz Creek at Chalk Hill Road,38.61068,-122.77254,1,2019-01-06,,,,,11.71,,,,7.58,2019,2036.0,KINCADE,2019-10-23 00:00:00+00:00,2019.0,77762.14
9020,304WAD,Waddell Creek Lagoon at Highway 1,37.09641198,-122.276968,3,2020-01-07,,,,,,0.07,,1.2,7.01,2020,1542.0,CZU LIGHTNING COMPLEX,2020-08-16 00:00:00+00:00,2020.0,86553.46
9069,304WAD,Waddell Creek Lagoon at Highway 1,37.09641198,-122.276968,3,2020-02-06,,,,,10.98,0.053,,1.4,7.14,2020,1542.0,CZU LIGHTNING COMPLEX,2020-08-16 00:00:00+00:00,2020.0,86553.46
