WaterQualityID,StationCode,StationName,TargetLatitude,TargetLongitude,Region,SampleDate,"Arsenic, Total","Cadmium, Total","Chromium, Total","Nitrogen, Total, Total","Oxygen, Dissolved, Total","Phosphorus as P, Total","Total Organic Carbon, Total","Turbidity, Total",pH,geometry,index_right,FIRE_NAME,ALARM_DATE,GIS_ACRES,days_since_fire
483,105DLCDCC,Dillon Creek at Dillon Cr. Cmp.,41.57269,-123.54353,1,2009-05-19,,,,0.0956,11.29,0.009,,0.75,8.0,POINT (-123.54353 41.57269),5717,MILL,2008-06-20,65882.04,333.0
822,105PS0090,"Salmon River, SF above Grizzly Creek",41.07997709,-123.0291124,1,2022-06-22,,,,,9.94,,,0.32,8.1,POINT (-123.0291124 41.07997709),1147,RIVER COMPLEX,2021-07-31,199354.1,326.0
839,105PS0259,St. Claire Creek above SF Salmon River,41.1406891,-123.172734,1,2022-06-23,,,,,9.04,,,1.91,8.3,POINT (-123.172734 41.1406891),1147,RIVER COMPLEX,2021-07-31,199354.1,327.0
1283,106MNCAHC,Miner's Creek,40.638,-123.321,1,2008-10-01,,,,,13.94,0.0367,,0.85,8.1,POINT (-123.321 40.638),5732,MINERS,2008-06-21,24876.34,102.0
1734,111CBCANF,Corbin Creek ~0.1mi above NF,39.5498,-122.7312,1,2021-08-02,,,,,6.1,0.07,,1.1,,POINT (-122.7312 39.5498),1532,AUGUST COMPLEX,2020-08-16,1.0326996e+06,351.0
1742,111CE0551,Bear Creek below FS road 17NO2,39.35314,-122.77651,1,2018-10-31,,,,-0.005,,0.016,,,,POINT (-122.77651 39.35314),2354,RANCH,2018-07-27,410202.47,96.0
1995,111FS0008,Blue Slides Creek above Bear Cr.,39.319333,-122.8453617,1,2018-10-29,,,,0.14,,0.051,,,,POINT (-122.8453617 39.319333),2354,RANCH,2018-07-27,410202.47,94.0
2537,111WER159,Copper Butte Creek ~0.5mi above Eel River,39.42944444,-122.8444444,1,2018-11-06,,,,0.03,12.2,0.045,,0.76,8.8,POINT (-122.8444444 39.42944444),2354,RANCH,2018-07-27,410202.47,102.0
6779,206SON300,Sonoma Creek below Adobe Cyn. Rd.,38.44264,-122.53139,2,2021-04-12,,,,,,0.08,,1.54,8.3,POINT (-122.53139 38.44264),1545,GLASS,2020-09-27,67484.41,197.0
6771,206SON300,Sonoma Creek below Adobe Cyn. Rd.,38.44264,-122.53139,2,2021-05-10,,,,,8.42,,,0.47,8.4,POINT (-122.53139 38.44264),1545,GLASS,2020-09-27,67484.41,225.0
6783,206SON300,Sonoma Creek below Adobe Cyn. Rd.,38.44264,-122.53139,2,2021-06-14,,,,,8.07,0.04,,0.3,8.5,POINT (-122.53139 38.44264),1545,GLASS,2020-09-27,67484.41,260.0
