WaterQualityID,StationCode,StationName,TargetLatitude,TargetLongitude,Region,SampleDate,"Arsenic, Total","Cadmium, Total","Chromium, Total","Nitrogen, Total, Total","Oxygen, Dissolved, Total","Phosphorus as P, Total","Total Organic Carbon, Total","Turbidity, Total",pH,SampleYear,index_right,FIRE_NAME,ALARM_DATE,FireYear,GIS_ACRES
47063,554KER040,Keyesville Rec Area,35.639,-118.4846,5,3/27/2002,,,,,,,,,8.5,2002,7752,BOREL,2002-06-15 00:00:00+00:00,2002,3417.8994
47062,554KER040,Keyesville Rec Area,35.639,-118.4846,5,6/19/2002,,,,,8.87,,,,8.5,2002,7752,BOREL,2002-06-15 00:00:00+00:00,2002,3417.8994
49010,631MIL001,"Mill Cr, central",38.476,-119.48767,6,7/19/2002,,,,,7.5,0.136,,3.2,8.2,2002,7740,CANNON,2002-06-15 00:00:00+00:00,2002,26684.135
49086,631WWK001,"West Walker River, at Coleville",38.51337,-119.4488,6,8/21/2002,,,,,,,,2,8.3,2002,7740,CANNON,2002-06-15 00:00:00+00:00,2002,26684.135
47080,554KER040,Keyesville Rec Area,35.639,-118.4846,5,9/17/2002,,,,,,0.066,,,8.1,2002,7752,BOREL,2002-06-15 00:00:00+00:00,2002,3417.8994
47074,554KER040,Keyesville Rec Area,35.639,-118.4846,5,12/11/2002,,,,,8.35,0.36,,,7.8,2002,7752,BOREL,2002-06-15 00:00:00+00:00,2002,3417.8994
53987,910OTJMC4,Jamul Creek 4,32.63747,-116.88405,9,1/21/2003,,,,,,,,1.4,7.39,2003,7402,MINE/OTAY,2003-10-26 00:00:00+00:00,2003,44734.13
22670,403STC082,Random Site 82 - Santa Clara River,34.33583,-119.06833,4,2/24/2003,,,,,,,,5.14,7.96,2003,7397,SIMI,2003-10-25 00:00:00+00:00,2003,107570.4
22822,404SMB010,Encinal Canyon Creek Lower,34.03934,-118.86875,4,3/4/2003,,,,,,0.066,,1.2,7.88,2003,7465,PACIFIC,2003-01-06 00:00:00+00:00,2003,805.63464
48604,628SHP001,"Sheep Cr, below Scout Camp",34.25364,-117.12391,6,3/20/2003,,,,,9.7,,,,,2003,7398,OLD,2003-10-25 00:00:00+00:00,2003,91428
22824,404SMB010,Encinal Canyon Creek Lower,34.03934,-118.86875,4,3/24/2003,,,,,,0.0868,,,,2003,7465,PACIFIC,2003-01-06 00:00:00+00:00,2003,805.63464
53986,910OTJMC4,Jamul Creek 4,32.63747,-116.88405,9,4/21/2003,,,,,,,,3.06,,2003,7402,MINE/OTAY,2003-10-26 00:00:00+00:00,2003,44734.13
53989,910OTJMC4,Jamul Creek 4,32.63747,-116.88405,9,5/15/2003,,,,,,,,1.8,,2003,7402,MINE/OTAY,2003-10-26 00:00:00+00:00,2003,44734.13
48579,628SHP001,"Sheep Cr, below Scout Camp",34.25364,-117.12391,6,6/18/2003,,,,,6.5,,,,,2003,7398,OLD,2003-10-25 00:00:00+00:00,2003,91428
21410,315JAL,Jalama Creek at County Park at RR trussels,34.51217198,-120.498226,3,3/4/2004,,,,0.52,,0.23,,22.2,7.99,2004,7194,JALAMA,2004-07-19 00:00:00+00:00,2004,333.0409
21362,315JAL,Jalama Creek at County Park at RR trussels,34.51217198,-120.498226,3,5/19/2004,,,,0.4,9.93,0.17,,11.4,8.14,2004,7194,JALAMA,2004-07-19 00:00:00+00:00,2004,333.0409
21365,315JAL,Jalama Creek at County Park at RR trussels,34.51217198,-120.498226,3,6/23/2004,,,,1.33,9.35,0.15,,16.6,,2004,7194,JALAMA,2004-07-19 00:00:00+00:00,2004,333.0409
